frame,AID,AgentCount
0,Grass,80
0,Predator,10
0,Prey,100
1,Grass,80
1,Predator,10
1,Prey,97
2,Grass,80
2,Predator,10
2,Prey,97
3,Grass,80
3,Predator,10
3,Prey,97
4,Grass,80
4,Predator,10
4,Prey,97
5,Grass,80
5,Predator,10
5,Prey,97
6,Grass,80
6,Predator,10
6,Prey,97
7,Grass,80
7,Predator,10
7,Prey,97
8,Grass,80
8,Predator,10
8,Prey,97
9,Grass,80
9,Predator,9
9,Prey,97
10,Grass,80
10,Predator,9
10,Prey,97
11,Grass,80
11,Predator,9
11,Prey,98
12,Grass,80
12,Predator,9
12,Prey,99
13,Grass,80
13,Predator,9
13,Prey,99
14,Grass,80
14,Predator,9
14,Prey,98
15,Grass,80
15,Predator,9
15,Prey,98
16,Grass,80
16,Predator,9
16,Prey,98
17,Grass,80
17,Predator,9
17,Prey,99
18,Grass,80
18,Predator,9
18,Prey,99
19,Grass,80
19,Predator,9
19,Prey,100
20,Grass,80
20,Predator,9
20,Prey,100
21,Grass,80
21,Predator,9
21,Prey,100
22,Grass,80
22,Predator,9
22,Prey,101
23,Grass,80
23,Predator,9
23,Prey,101
24,Grass,80
24,Predator,9
24,Prey,101
25,Grass,80
25,Predator,9
25,Prey,102
26,Grass,80
26,Predator,9
26,Prey,102
27,Grass,80
27,Predator,9
27,Prey,102
28,Grass,80
28,Predator,9
28,Prey,102
29,Grass,80
29,Predator,9
29,Prey,103
30,Grass,80
30,Predator,9
30,Prey,103
31,Grass,80
31,Predator,9
31,Prey,103
32,Grass,80
32,Predator,9
32,Prey,103
33,Grass,80
33,Predator,9
33,Prey,104
34,Grass,80
34,Predator,9
34,Prey,104
35,Grass,80
35,Predator,9
35,Prey,105
36,Grass,80
36,Predator,9
36,Prey,105
37,Grass,80
37,Predator,9
37,Prey,105
38,Grass,80
38,Predator,9
38,Prey,105
39,Grass,80
39,Predator,9
39,Prey,106
40,Grass,80
40,Predator,9
40,Prey,106
41,Grass,80
41,Predator,9
41,Prey,107
42,Grass,80
42,Predator,9
42,Prey,107
43,Grass,80
43,Predator,9
43,Prey,108
44,Grass,80
44,Predator,9
44,Prey,109
45,Grass,80
45,Predator,9
45,Prey,109
46,Grass,80
46,Predator,9
46,Prey,109
47,Grass,80
47,Predator,9
47,Prey,109
48,Grass,80
48,Predator,9
48,Prey,109
49,Grass,80
49,Predator,9
49,Prey,108
50,Grass,80
50,Predator,9
50,Prey,108
51,Grass,80
51,Predator,9
51,Prey,108
52,Grass,80
52,Predator,9
52,Prey,108
53,Grass,80
53,Predator,9
53,Prey,109
54,Grass,80
54,Predator,9
54,Prey,109
55,Grass,80
55,Predator,9
55,Prey,112
56,Grass,80
56,Predator,9
56,Prey,113
57,Grass,80
57,Predator,9
57,Prey,111
58,Grass,80
58,Predator,9
58,Prey,111
59,Grass,80
59,Predator,9
59,Prey,111
60,Grass,80
60,Predator,9
60,Prey,111
61,Grass,80
61,Predator,9
61,Prey,111
62,Grass,80
62,Predator,9
62,Prey,112
63,Grass,80
63,Predator,9
63,Prey,113
64,Grass,80
64,Predator,9
64,Prey,113
65,Grass,80
65,Predator,9
65,Prey,113
66,Grass,80
66,Predator,9
66,Prey,113
67,Grass,80
67,Predator,9
67,Prey,113
68,Grass,80
68,Predator,9
68,Prey,113
69,Grass,80
69,Predator,9
69,Prey,112
70,Grass,80
70,Predator,9
70,Prey,112
71,Grass,80
71,Predator,9
71,Prey,113
72,Grass,80
72,Predator,9
72,Prey,112
73,Grass,80
73,Predator,9
73,Prey,112
74,Grass,80
74,Predator,9
74,Prey,113
75,Grass,80
75,Predator,9
75,Prey,116
76,Grass,80
76,Predator,9
76,Prey,117
77,Grass,80
77,Predator,9
77,Prey,117
78,Grass,80
78,Predator,9
78,Prey,117
79,Grass,80
79,Predator,9
79,Prey,116
80,Grass,80
80,Predator,9
80,Prey,116
81,Grass,80
81,Predator,9
