frame,AID,AgentCount
178,Predator,10
178,Prey,143
179,Grass,80
179,Predator,10
179,Prey,143
180,Grass,80
180,Predator,10
180,Prey,144
181,Grass,80
181,Predator,10
181,Prey,144
182,Grass,80
182,Predator,10
182,Prey,145
183,Grass,80
183,Predator,10
183,Prey,145
184,Grass,80
184,Predator,10
184,Prey,145
185,Grass,80
185,Predator,10
185,Prey,146
186,Grass,80
186,Predator,10
186,Prey,146
187,Grass,80
187,Predator,10
187,Prey,146
188,Grass,80
188,Predator,10
188,Prey,146
189,Grass,80
189,Predator,10
189,Prey,145
190,Grass,80
190,Predator,10
190,Prey,146
191,Grass,80
191,Predator,10
191,Prey,145
192,Grass,80
192,Predator,10
192,Prey,144
193,Grass,80
193,Predator,10
193,Prey,144
194,Grass,80
194,Predator,10
194,Prey,144
195,Grass,80
195,Predator,10
195,Prey,144
196,Grass,80
196,Predator,10
196,Prey,145
197,Grass,80
197,Predator,10
197,Prey,145
198,Grass,80
198,Predator,10
198,Prey,145
199,Grass,80
199,Predator,10
199,Prey,145
200,Grass,80
200,Predator,10
200,Prey,145
201,Grass,80
201,Predator,10
201,Prey,145
202,Grass,80
202,Predator,10
202,Prey,145
203,Grass,80
203,Predator,10
203,Prey,146
204,Grass,80
204,Predator,10
204,Prey,147
205,Grass,80
205,Predator,10
205,Prey,148
206,Grass,80
206,Predator,10
206,Prey,147
207,Grass,80
207,Predator,10
207,Prey,147
208,Grass,80
208,Predator,10
208,Prey,147
209,Grass,80
209,Predator,10
209,Prey,147
210,Grass,80
210,Predator,10
210,Prey,147
211,Grass,80
211,Predator,10
211,Prey,147
212,Grass,80
212,Predator,10
212,Prey,147
213,Grass,80
213,Predator,10
213,Prey,147
214,Grass,80
214,Predator,10
214,Prey,146
215,Grass,80
215,Predator,10
215,Prey,146
216,Grass,80
216,Predator,10
216,Prey,146
217,Grass,80
217,Predator,10
217,Prey,146
218,Grass,80
218,Predator,10
218,Prey,146
219,Grass,80
219,Predator,10
219,Prey,146
220,Grass,80
220,Predator,10
220,Prey,146
221,Grass,80
221,Predator,10
221,Prey,146
222,Grass,80
222,Predator,10
222,Prey,144
223,Grass,80
223,Predator,10
223,Prey,144
224,Grass,80
224,Predator,10
224,Prey,144
225,Grass,80
225,Predator,10
225,Prey,144
226,Grass,80
226,Predator,10
226,Prey,144
227,Grass,80
227,Predator,10
227,Prey,144
228,Grass,80
228,Predator,10
228,Prey,144
229,Grass,80
229,Predator,10
229,Prey,144
230,Grass,80
230,Predator,10
230,Prey,144
231,Grass,80
231,Predator,10
231,Prey,145
232,Grass,80
232,Predator,10
232,Prey,145
233,Grass,80
233,Predator,10
233,Prey,145
234,Grass,80
234,Predator,10
234,Prey,145
235,Grass,80
235,Predator,10
235,Prey,145
236,Grass,80
236,Predator,10
236,Prey,147
237,Grass,80
237,Predator,10
237,Prey,148
238,Grass,80
238,Predator,10
238,Prey,148
239,Grass,80
239,Predator,10
239,Prey,147
240,Grass,80
240,Predator,10
240,Prey,147
241,Grass,80
241,Predator,10
241,Prey,147
242,Grass,80
242,Predator,10
242,Prey,147
243,Grass,80
243,Predator,10
243,Prey,147
244,Grass,80
244,Predator,10
244,Prey,146
245,Grass,80
245,Predator,10
245,Prey,147
246,Grass,80
246,Predator,10
246,Prey,147
247,Grass,80
247,Predator,10
247,Prey,147
248,Grass,80
248,Predator,10
248,Prey,147
249,Grass,80
249,Predator,10
249,Prey,149
250,Grass,80
250,Predator,10
250,Prey,150
251,Grass,80
251,Predator,10
251,Prey,148
252,Grass,80
252,Predator,10
252,Prey,150
253,Grass,80
253,Predator,10
253,Prey,149
254,Grass,80
254,Predator,10
254,Prey,149
255,Grass,80
255,Predator,10
255,Prey,147
256,Grass,80
256,Predator,10
256,Prey,147
257,Grass,80
257,Predator,10
257,Prey,148
258,Grass,80
258,Predator,10
258,Prey,149
259,Grass,80
259,Predator,10
259,Prey,149
260,Grass,80
260,Predator,10
260,Prey,150
261,Grass,80
261,Predator,10
261,Prey,151
262,Grass,80
262,Predator,10
262,Prey,152
263,Grass,80
263,Predator,10
263,Prey,152
264,Grass,80
264,Predator,10
264,Prey,153
265,Grass,80
265,Predator,10
265,Prey,153
266,Grass,80
266,Predator,10
266,Prey,152
267,Grass,80
267,Predator,10
267,Prey,152
268,Grass,80
268,Predator,10
268,Prey,153
269,Grass,80
269,Predator,10
269,Prey,154
270,Grass,80
270,Predator,10
270,Prey,155
271,Grass,80
271,Predator,10
271,Prey,156
272,Grass,80
272,Predator,10
272,Prey,156
273,Grass,80
273,Predator,10
273,Prey,157
274,Grass,80
274,Predator,10
274,Prey,157
275,Grass,80
275,Predator,10
275,Prey,157
276,Grass,80
276,Predator,10
276,Prey,156
277,Grass,80
277,Predator,10
277,Prey,157
278,Grass,80
278,Predator,10
278,Prey,157
279,Grass,80
279,Predator,10
279,Prey,155
280,Grass,80
280,Predator,10
280,Prey,155
281,Grass,80
281,Predator,10
281,Prey,156
282,Grass,80
282,Predator,10
282,Prey,156
283,Grass,80
283,Predator,10
283,Prey,156
284,Grass,80
284,Predator,10
284,Prey,156
285,Grass,80
285,Predator,10
285,Prey,157
286,Grass,80
286,Predator,10
286,Prey,157
287,Grass,80
287,Predator,10
287,Prey,158
288,Grass,80
288,Predator,10
288,Prey,160
289,Grass,80
289,Predator,10
289,Prey,161
290,Grass,80
290,Predator,10
290,Prey,163
291,Grass,80
291,Predator,10
291,Prey,162
292,Grass,80
292,Predator,10
292,Prey,160
293,Grass,80
293,Predator,10
293,Prey,160
294,Grass,80
294,Predator,10
294,Prey,160
295,Grass,80
295,Predator,10
295,Prey,160
296,Grass,80
296,Predator,10
296,Prey,161
297,Grass,80
297,Predator,10
297,Prey,161
298,Grass,80
298,Predator,10
298,Prey,160
299,Grass,80
299,Predator,10
299,Prey,160
300,Grass,80
300,Predator,10
300,Prey,160
301,Grass,80
301,Predator,10
301,Prey,159
302,Grass,80
302,Predator,10
302,Prey,159
303,Grass,80
303,Predator,10
303,Prey,159
304,Grass,80
304,Predator,10
304,Prey,160
305,Grass,80
305,Predator,10
305,Prey,160
306,Grass,80
306,Predator,10
306,Prey,160
307,Grass,80
307,Predator,10
307,Prey,161
308,Grass,80
308,Predator,10
308,Prey,162
