frame,AID,AgentCount
0,Grass,80
0,Predator,10
0,Prey,100
1,Grass,80
1,Predator,10
1,Prey,96
2,Grass,80
2,Predator,10
2,Prey,96
3,Grass,80
3,Predator,10
3,Prey,97
4,Grass,80
4,Predator,10
4,Prey,97
5,Grass,80
5,Predator,10
5,Prey,97
6,Grass,80
6,Predator,10
6,Prey,97
7,Grass,80
7,Predator,11
7,Prey,96
8,Grass,80
8,Predator,11
8,Prey,95
9,Grass,80
9,Predator,11
9,Prey,95
10,Grass,80
10,Predator,11
10,Prey,95
11,Grass,80
11,Predator,11
11,Prey,95
12,Grass,80
12,Predator,11
12,Prey,95
13,Grass,80
13,Predator,11
13,Prey,94
14,Grass,80
14,Predator,11
14,Prey,94
15,Grass,80
15,Predator,11
15,Prey,94
16,Grass,80
16,Predator,11
16,Prey,93
17,Grass,80
17,Predator,11
17,Prey,93
18,Grass,80
18,Predator,11
18,Prey,93
19,Grass,80
19,Predator,11
19,Prey,93
20,Grass,80
20,Predator,11
20,Prey,93
21,Grass,80
21,Predator,11
21,Prey,93
22,Grass,80
22,Predator,11
22,Prey,93
23,Grass,80
23,Predator,11
23,Prey,93
24,Grass,80
24,Predator,11
24,Prey,93
25,Grass,80
25,Predator,11
25,Prey,93
26,Grass,80
26,Predator,11
26,Prey,93
27,Grass,80
27,Predator,11
27,Prey,94
28,Grass,80
28,Predator,11
28,Prey,94
29,Grass,80
29,Predator,11
29,Prey,94
30,Grass,80
30,Predator,11
30,Prey,94
31,Grass,80
31,Predator,11
31,Prey,94
32,Grass,80
32,Predator,11
32,Prey,93
33,Grass,80
33,Predator,11
33,Prey,93
34,Grass,80
34,Predator,11
34,Prey,92
35,Grass,80
35,Predator,11
35,Prey,92
36,Grass,80
36,Predator,11
36,Prey,92
37,Grass,80
37,Predator,11
37,Prey,91
38,Grass,80
38,Predator,12
38,Prey,90
39,Grass,80
39,Predator,12
39,Prey,90
40,Grass,80
40,Predator,12
40,Prey,90
41,Grass,80
41,Predator,12
41,Prey,92
42,Grass,80
42,Predator,12
42,Prey,92
43,Grass,80
43,Predator,12
43,Prey,92
44,Grass,80
44,Predator,12
44,Prey,92
45,Grass,80
45,Predator,12
45,Prey,92
46,Grass,80
46,Predator,12
46,Prey,92
47,Grass,80
47,Predator,12
47,Prey,92
48,Grass,80
48,Predator,12
48,Prey,92
49,Grass,80
49,Predator,12
49,Prey,94
50,Grass,80
50,Predator,12
50,Prey,94
51,Grass,80
51,Predator,12
51,Prey,94
52,Grass,80
52,Predator,12
52,Prey,94
53,Grass,80
53,Predator,12
53,Prey,94
54,Grass,80
54,Predator,12
54,Prey,94
55,Grass,80
55,Predator,12
55,Prey,94
56,Grass,80
56,Predator,12
56,Prey,94
57,Grass,80
57,Predator,12
57,Prey,94
58,Grass,80
58,Predator,12
58,Prey,95
59,Grass,80
59,Predator,12
59,Prey,95
60,Grass,80
60,Predator,12
60,Prey,96
61,Grass,80
61,Predator,12
61,Prey,96
62,Grass,80
62,Predator,12
62,Prey,96
63,Grass,80
63,Predator,12
63,Prey,96
64,Grass,80
64,Predator,12
64,Prey,96
65,Grass,80
65,Predator,12
65,Prey,96
66,Grass,80
66,Predator,12
66,Prey,96
67,Grass,80
67,Predator,12
67,Prey,96
68,Grass,80
68,Predator,12
68,Prey,97
69,Grass,80
69,Predator,12
69,Prey,97
70,Grass,80
70,Predator,12
70,Prey,95
71,Grass,80
71,Predator,12
71,Prey,95
72,Grass,80
72,Predator,12
72,Prey,95
73,Grass,80
73,Predator,12
73,Prey,95
74,Grass,80
74,Predator,12
74,Prey,94
75,Grass,80
75,Predator,12
75,Prey,93
76,Grass,80
76,Predator,12
76,Prey,93
77,Grass,80
77,Predator,12
77,Prey,94
78,Grass,80
78,Predator,12
78,Prey,94
79,Grass,80
79,Predator,12
79,Prey,95
80,Grass,80
80,Predator,12
80,Prey,96
81,Grass,80
81,Predator,12
