frame,AID,AgentCount
116,Grass,80
116,Predator,11
116,Prey,118
117,Grass,80
117,Predator,11
117,Prey,118
118,Grass,80
118,Predator,11
118,Prey,118
119,Grass,80
119,Predator,11
119,Prey,116
120,Grass,80
120,Predator,11
120,Prey,116
121,Grass,80
121,Predator,11
121,Prey,117
122,Grass,80
122,Predator,11
122,Prey,117
123,Grass,80
123,Predator,11
123,Prey,118
124,Grass,80
124,Predator,11
124,Prey,118
125,Grass,80
125,Predator,11
125,Prey,119
126,Grass,80
126,Predator,11
126,Prey,119
127,Grass,80
127,Predator,11
127,Prey,120
128,Grass,80
128,Predator,11
128,Prey,122
129,Grass,80
129,Predator,11
129,Prey,123
130,Grass,80
130,Predator,11
130,Prey,123
131,Grass,80
131,Predator,11
131,Prey,124
132,Grass,80
132,Predator,11
132,Prey,125
133,Grass,80
133,Predator,11
133,Prey,125
134,Grass,80
134,Predator,11
134,Prey,125
135,Grass,80
135,Predator,11
135,Prey,125
136,Grass,80
136,Predator,11
136,Prey,125
137,Grass,80
137,Predator,11
137,Prey,125
138,Grass,80
138,Predator,11
138,Prey,126
139,Grass,80
139,Predator,11
139,Prey,128
140,Grass,80
140,Predator,11
140,Prey,129
141,Grass,80
141,Predator,11
141,Prey,128
142,Grass,80
142,Predator,11
142,Prey,128
143,Grass,80
143,Predator,11
143,Prey,128
144,Grass,80
144,Predator,11
144,Prey,128
145,Grass,80
145,Predator,11
145,Prey,128
146,Grass,80
146,Predator,11
146,Prey,128
147,Grass,80
147,Predator,11
147,Prey,128
148,Grass,80
148,Predator,11
148,Prey,128
149,Grass,80
149,Predator,11
149,Prey,129
150,Grass,80
150,Predator,11
150,Prey,129
151,Grass,80
151,Predator,11
151,Prey,130
152,Grass,80
152,Predator,11
152,Prey,130
153,Grass,80
153,Predator,11
153,Prey,129
154,Grass,80
154,Predator,11
154,Prey,129
155,Grass,80
155,Predator,11
155,Prey,129
156,Grass,80
156,Predator,11
156,Prey,129
157,Grass,80
157,Predator,11
157,Prey,129
158,Grass,80
158,Predator,11
158,Prey,129
159,Grass,80
159,Predator,11
159,Prey,129
160,Grass,80
160,Predator,11
160,Prey,130
161,Grass,80
161,Predator,11
161,Prey,130
162,Grass,80
162,Predator,11
162,Prey,130
163,Grass,80
163,Predator,11
163,Prey,132
164,Grass,80
164,Predator,11
164,Prey,133
165,Grass,80
165,Predator,11
165,Prey,136
166,Grass,80
166,Predator,11
166,Prey,136
167,Grass,80
167,Predator,11
167,Prey,137
168,Grass,80
168,Predator,11
168,Prey,137
169,Grass,80
169,Predator,11
169,Prey,137
170,Grass,80
170,Predator,11
170,Prey,137
171,Grass,80
171,Predator,11
171,Prey,136
172,Grass,80
172,Predator,11
172,Prey,137
173,Grass,80
173,Predator,11
173,Prey,137
174,Grass,80
174,Predator,11
174,Prey,138
175,Grass,80
175,Predator,11
175,Prey,138
176,Grass,80
176,Predator,11
176,Prey,138
177,Grass,80
177,Predator,11
177,Prey,139
178,Grass,80
178,Predator,11
178,Prey,139
179,Grass,80
179,Predator,11
179,Prey,139
180,Grass,80
180,Predator,11
180,Prey,142
181,Grass,80
181,Predator,11
181,Prey,141
182,Grass,80
182,Predator,11
182,Prey,141
183,Grass,80
183,Predator,11
183,Prey,141
184,Grass,80
184,Predator,11
184,Prey,140
185,Grass,80
185,Predator,11
185,Prey,141
186,Grass,80
186,Predator,11
186,Prey,141
187,Grass,80
187,Predator,11
187,Prey,140
188,Grass,80
188,Predator,11
188,Prey,140
189,Grass,80
189,Predator,11
189,Prey,141
190,Grass,80
190,Predator,11
190,Prey,143
191,Grass,80
191,Predator,11
191,Prey,143
192,Grass,80
192,Predator,11
192,Prey,143
193,Grass,80
193,Predator,11
193,Prey,143
194,Grass,80
194,Predator,11
194,Prey,145
195,Grass,80
195,Predator,11
195,Prey,146
196,Grass,80
196,Predator,11
196,Prey,145
197,Grass,80
197,Predator,11
197,Prey,145
198,Grass,80
198,Predator,11
198,Prey,146
199,Grass,80
199,Predator,11
199,Prey,146
200,Grass,80
200,Predator,11
200,Prey,146
201,Grass,80
201,Predator,11
201,Prey,146
202,Grass,80
202,Predator,11
202,Prey,145
203,Grass,80
203,Predator,11
203,Prey,145
204,Grass,80
204,Predator,11
204,Prey,148
205,Grass,80
205,Predator,11
205,Prey,148
206,Grass,80
206,Predator,11
206,Prey,148
207,Grass,80
207,Predator,11
207,Prey,147
208,Grass,80
208,Predator,11
208,Prey,147
209,Grass,80
209,Predator,11
209,Prey,147
210,Grass,80
210,Predator,11
210,Prey,149
211,Grass,80
211,Predator,11
211,Prey,149
212,Grass,80
212,Predator,11
212,Prey,149
213,Grass,80
213,Predator,11
213,Prey,149
214,Grass,80
214,Predator,11
214,Prey,148
215,Grass,80
215,Predator,11
215,Prey,148
216,Grass,80
216,Predator,11
216,Prey,149
217,Grass,80
217,Predator,11
217,Prey,149
218,Grass,80
218,Predator,11
218,Prey,149
219,Grass,80
219,Predator,11
219,Prey,149
220,Grass,80
220,Predator,11
220,Prey,149
221,Grass,80
221,Predator,11
221,Prey,148
222,Grass,80
222,Predator,11
222,Prey,149
223,Grass,80
223,Predator,11
223,Prey,149
224,Grass,80
224,Predator,11
224,Prey,150
225,Grass,80
225,Predator,11
225,Prey,153
226,Grass,80
226,Predator,11
226,Prey,153
227,Grass,80
227,Predator,11
227,Prey,153
228,Grass,80
228,Predator,11
228,Prey,152
229,Grass,80
229,Predator,11
229,Prey,154
230,Grass,80
230,Predator,11
230,Prey,155
231,Grass,80
231,Predator,10
231,Prey,155
232,Grass,80
