frame,AID,AgentCount
178,Predator,10
178,Prey,145
179,Grass,80
179,Predator,10
179,Prey,145
180,Grass,80
180,Predator,10
180,Prey,146
181,Grass,80
181,Predator,10
181,Prey,146
182,Grass,80
182,Predator,10
182,Prey,147
183,Grass,80
183,Predator,10
183,Prey,149
184,Grass,80
184,Predator,10
184,Prey,150
185,Grass,80
185,Predator,10
185,Prey,150
186,Grass,80
186,Predator,10
186,Prey,150
187,Grass,80
187,Predator,10
187,Prey,150
188,Grass,80
188,Predator,10
188,Prey,150
189,Grass,80
189,Predator,10
189,Prey,148
190,Grass,80
190,Predator,10
190,Prey,149
191,Grass,80
191,Predator,10
191,Prey,149
192,Grass,80
192,Predator,10
192,Prey,148
193,Grass,80
193,Predator,10
193,Prey,148
194,Grass,80
194,Predator,10
194,Prey,148
195,Grass,80
195,Predator,10
195,Prey,148
196,Grass,80
196,Predator,10
196,Prey,148
197,Grass,80
197,Predator,10
197,Prey,148
198,Grass,80
198,Predator,10
198,Prey,146
199,Grass,80
199,Predator,10
199,Prey,147
200,Grass,80
200,Predator,10
200,Prey,148
201,Grass,80
201,Predator,10
201,Prey,148
202,Grass,80
202,Predator,10
202,Prey,148
203,Grass,80
203,Predator,10
203,Prey,148
204,Grass,80
204,Predator,10
204,Prey,148
205,Grass,80
205,Predator,10
205,Prey,149
206,Grass,80
206,Predator,10
206,Prey,151
207,Grass,80
207,Predator,10
207,Prey,152
208,Grass,80
208,Predator,10
208,Prey,152
209,Grass,80
209,Predator,10
209,Prey,153
210,Grass,80
210,Predator,10
210,Prey,152
211,Grass,80
211,Predator,10
211,Prey,152
212,Grass,80
212,Predator,10
212,Prey,152
213,Grass,80
213,Predator,10
213,Prey,152
214,Grass,80
214,Predator,10
214,Prey,152
215,Grass,80
215,Predator,10
215,Prey,153
216,Grass,80
216,Predator,10
216,Prey,152
217,Grass,80
217,Predator,10
217,Prey,152
218,Grass,80
218,Predator,10
218,Prey,153
219,Grass,80
219,Predator,10
219,Prey,153
220,Grass,80
220,Predator,10
220,Prey,153
221,Grass,80
221,Predator,10
221,Prey,153
222,Grass,80
222,Predator,10
222,Prey,152
223,Grass,80
223,Predator,10
223,Prey,152
224,Grass,80
224,Predator,10
224,Prey,153
225,Grass,80
225,Predator,10
225,Prey,153
226,Grass,80
226,Predator,10
226,Prey,153
227,Grass,80
227,Predator,10
227,Prey,153
228,Grass,80
228,Predator,10
228,Prey,154
229,Grass,80
229,Predator,10
229,Prey,154
230,Grass,80
230,Predator,10
230,Prey,155
231,Grass,80
231,Predator,10
231,Prey,155
232,Grass,80
232,Predator,10
232,Prey,156
233,Grass,80
233,Predator,10
233,Prey,156
234,Grass,80
234,Predator,10
234,Prey,156
235,Grass,80
235,Predator,10
235,Prey,157
236,Grass,80
236,Predator,10
236,Prey,159
237,Grass,80
237,Predator,10
237,Prey,158
238,Grass,80
238,Predator,10
238,Prey,158
239,Grass,80
239,Predator,10
239,Prey,158
240,Grass,80
240,Predator,10
240,Prey,158
241,Grass,80
241,Predator,10
241,Prey,158
242,Grass,80
242,Predator,10
242,Prey,159
243,Grass,80
243,Predator,10
243,Prey,161
244,Grass,80
244,Predator,10
244,Prey,161
245,Grass,80
245,Predator,9
245,Prey,161
246,Grass,80
246,Predator,9
246,Prey,161
247,Grass,80
247,Predator,9
247,Prey,161
248,Grass,80
248,Predator,9
248,Prey,161
249,Grass,80
249,Predator,9
249,Prey,162
250,Grass,80
250,Predator,9
250,Prey,163
251,Grass,80
251,Predator,9
251,Prey,163
252,Grass,80
252,Predator,9
252,Prey,163
253,Grass,80
253,Predator,9
253,Prey,164
254,Grass,80
254,Predator,8
254,Prey,164
255,Grass,80
255,Predator,8
255,Prey,165
256,Grass,80
256,Predator,8
256,Prey,166
257,Grass,80
257,Predator,8
257,Prey,167
258,Grass,80
258,Predator,8
258,Prey,167
259,Grass,80
259,Predator,8
259,Prey,167
260,Grass,80
260,Predator,8
260,Prey,167
261,Grass,80
261,Predator,8
261,Prey,169
262,Grass,80
262,Predator,8
262,Prey,170
263,Grass,80
263,Predator,8
263,Prey,173
264,Grass,80
264,Predator,8
264,Prey,173
265,Grass,80
265,Predator,8
265,Prey,173
266,Grass,80
266,Predator,8
266,Prey,173
267,Grass,80
267,Predator,8
267,Prey,173
268,Grass,80
268,Predator,8
268,Prey,173
269,Grass,80
269,Predator,8
269,Prey,173
270,Grass,80
270,Predator,8
270,Prey,174
271,Grass,80
271,Predator,8
271,Prey,175
272,Grass,80
272,Predator,8
272,Prey,176
273,Grass,80
273,Predator,8
273,Prey,177
274,Grass,80
274,Predator,8
274,Prey,177
275,Grass,80
275,Predator,8
275,Prey,177
276,Grass,80
276,Predator,8
276,Prey,177
277,Grass,80
277,Predator,8
277,Prey,177
278,Grass,80
278,Predator,8
278,Prey,177
279,Grass,80
279,Predator,8
279,Prey,179
280,Grass,80
280,Predator,8
280,Prey,182
281,Grass,80
281,Predator,8
281,Prey,182
282,Grass,80
282,Predator,8
282,Prey,183
283,Grass,80
283,Predator,8
283,Prey,184
284,Grass,80
284,Predator,8
284,Prey,184
285,Grass,80
285,Predator,8
285,Prey,186
286,Grass,80
286,Predator,8
286,Prey,186
287,Grass,80
287,Predator,8
287,Prey,184
288,Grass,80
288,Predator,8
288,Prey,185
289,Grass,80
289,Predator,8
289,Prey,184
290,Grass,80
290,Predator,8
290,Prey,184
291,Grass,80
291,Predator,8
291,Prey,184
292,Grass,80
292,Predator,8
292,Prey,184
293,Grass,80
293,Predator,8
293,Prey,186
294,Grass,80
294,Predator,8
294,Prey,186
295,Grass,80
295,Predator,8
295,Prey,186
296,Grass,80
296,Predator,8
296,Prey,186
297,Grass,80
297,Predator,8
297,Prey,185
298,Grass,80
298,Predator,8
298,Prey,185
299,Grass,80
299,Predator,8
299,Prey,185
300,Grass,80
300,Predator,8
300,Prey,184
301,Grass,80
301,Predator,8
301,Prey,183
302,Grass,80
302,Predator,8
302,Prey,186
303,Grass,80
303,Predator,8
303,Prey,185
304,Grass,80
304,Predator,8
304,Prey,185
305,Grass,80
305,Predator,8
305,Prey,185
306,Grass,80
306,Predator,8
306,Prey,185
307,Grass,80
307,Predator,8
307,Prey,185
308,Grass,80
308,Predator,8
308,Prey,186
309,Grass,80
309,Predator,8
309,Prey,186
310,Grass,80
310,Predator,7
310,Prey,186
311,Grass,80
311,Predator,7
311,Prey,187
312,Grass,80
312,Predator,7
312,Prey,187
313,Grass,80
313,Predator,7
313,Prey,187
314,Grass,80
314,Predator,7
314,Prey,188
315,Grass,80
315,Predator,7
315,Prey,188
316,Grass,80
316,Predator,7
316,Prey,188
317,Grass,80
317,Predator,7
317,Prey,190
318,Grass,80
318,Predator,7
318,Prey,191
319,Grass,80
319,Predator,7
319,Prey,189
320,Grass,80
320,Predator,7
320,Prey,189
321,Grass,80
321,Predator,7
321,Prey,190
322,Grass,80
322,Predator,7
322,Prey,191
323,Grass,80
323,Predator,7
323,Prey,191
324,Grass,80
324,Predator,7
324,Prey,190
325,Grass,80
325,Predator,7
325,Prey,191
326,Grass,80
326,Predator,7
326,Prey,191
327,Grass,80
327,Predator,7
327,Prey,192
328,Grass,80
328,Predator,7
328,Prey,192
329,Grass,80
329,Predator,7
329,Prey,193
330,Grass,80
330,Predator,7
330,Prey,192
331,Grass,80
331,Predator,7
331,Prey,192
332,Grass,80
332,Predator,7
332,Prey,192
333,Grass,80
333,Predator,7
333,Prey,192
334,Grass,80
334,Predator,7
334,Prey,191
335,Grass,80
335,Predator,7
335,Prey,191
336,Grass,80
336,Predator,7
336,Prey,192
337,Grass,80
337,Predator,7
337,Prey,192
338,Grass,80
338,Predator,7
338,Prey,193
339,Grass,80
339,Predator,7
339,Prey,192
340,Grass,80
340,Predator,7
340,Prey,194
341,Grass,80
341,Predator,7
341,Prey,194
342,Grass,80
342,Predator,7
342,Prey,194
343,Grass,80
343,Predator,7
343,Prey,195
344,Grass,80
344,Predator,7
344,Prey,195
345,Grass,80
345,Predator,7
345,Prey,196
346,Grass,80
346,Predator,7
346,Prey,197
347,Grass,80
347,Predator,7
347,Prey,198
348,Grass,80
348,Predator,7
348,Prey,198
349,Grass,80
349,Predator,7
349,Prey,198
350,Grass,80
350,Predator,7
350,Prey,199
351,Grass,80
351,Predator,7
351,Prey,198
352,Grass,80
352,Predator,7
352,Prey,199
353,Grass,80
353,Predator,7
353,Prey,199
354,Grass,80
354,Predator,7
354,Prey,199
355,Grass,80
355,Predator,7
355,Prey,199
356,Grass,80
356,Predator,8
356,Prey,198
357,Grass,80
357,Predator,8
357,Prey,199
358,Grass,80
358,Predator,8
358,Prey,199
359,Grass,80
359,Predator,8
359,Prey,198
360,Grass,80
360,Predator,8
360,Prey,198
361,Grass,80
361,Predator,8
361,Prey,198
362,Grass,80
362,Predator,8
362,Prey,198
363,Grass,80
363,Predator,8
363,Prey,198
364,Grass,80
364,Predator,8
364,Prey,198
365,Grass,80
365,Predator,8
365,Prey,200
366,Grass,80
366,Predator,8
366,Prey,203
367,Grass,80
367,Predator,8
367,Prey,203
368,Grass,80
368,Predator,8
368,Prey,202
369,Grass,80
369,Predator,8
369,Prey,201
370,Grass,80
370,Predator,8
370,Prey,202
371,Grass,80
371,Predator,8
371,Prey,201
372,Grass,80
372,Predator,8
372,Prey,202
373,Grass,80
373,Predator,8
373,Prey,202
374,Grass,80
374,Predator,8
374,Prey,202
375,Grass,80
375,Predator,8
375,Prey,203
376,Grass,80
376,Predator,8
376,Prey,203
377,Grass,80
377,Predator,8
377,Prey,203
378,Grass,80
378,Predator,8
378,Prey,204
379,Grass,80
379,Predator,8
379,Prey,202
380,Grass,80
380,Predator,8
380,Prey,203
381,Grass,80
381,Predator,8
381,Prey,203
382,Grass,80
382,Predator,8
382,Prey,203
383,Grass,80
383,Predator,8
383,Prey,202
384,Grass,80
384,Predator,8
384,Prey,202
385,Grass,80
385,Predator,8
385,Prey,205
386,Grass,80
386,Predator,8
386,Prey,206
387,Grass,80
387,Predator,8
387,Prey,206
388,Grass,80
388,Predator,8
388,Prey,207
389,Grass,80
389,Predator,8
389,Prey,207
390,Grass,80
390,Predator,8
390,Prey,206
391,Grass,80
391,Predator,8
391,Prey,207
392,Grass,80
392,Predator,8
392,Prey,209
393,Grass,80
393,Predator,8
393,Prey,209
394,Grass,80
394,Predator,8
394,Prey,208
395,Grass,80
395,Predator,8
395,Prey,208
396,Grass,80
396,Predator,8
396,Prey,209
397,Grass,80
397,Predator,8
397,Prey,208
398,Grass,80
398,Predator,8
398,Prey,208
399,Grass,80
399,Predator,8
399,Prey,209
400,Grass,80
400,Predator,8
400,Prey,208
401,Grass,80
401,Predator,8
401,Prey,209
402,Grass,80
402,Predator,8
402,Prey,209
403,Grass,80
403,Predator,8
403,Prey,209
404,Grass,80
404,Predator,8
404,Prey,209
405,Grass,80
405,Predator,8
405,Prey,209
406,Grass,80
406,Predator,8
406,Prey,210
407,Grass,80
407,Predator,8
407,Prey,210
408,Grass,80
408,Predator,8
408,Prey,210
409,Grass,80
409,Predator,8
409,Prey,210
410,Grass,80
410,Predator,8
410,Prey,210
411,Grass,80
411,Predator,9
411,Prey,209
412,Grass,80
412,Predator,9
412,Prey,210
413,Grass,80
413,Predator,9
413,Prey,211
414,Grass,80
414,Predator,9
414,Prey,211
415,Grass,80
415,Predator,9
415,Prey,212
416,Grass,80
416,Predator,9
416,Prey,213
417,Grass,80
417,Predator,9
417,Prey,216
418,Grass,80
418,Predator,9
418,Prey,217
419,Grass,80
419,Predator,8
419,Prey,216
420,Grass,80
420,Predator,8
420,Prey,217
421,Grass,80
421,Predator,8
421,Prey,217
422,Grass,80
422,Predator,8
422,Prey,219
423,Grass,80
423,Predator,8
423,Prey,218
424,Grass,80
424,Predator,8
424,Prey,219
425,Grass,80
425,Predator,8
425,Prey,218
426,Grass,80
426,Predator,8
426,Prey,219
427,Grass,80
427,Predator,8
427,Prey,219
428,Grass,80
428,Predator,8
428,Prey,221
429,Grass,80
429,Predator,8
429,Prey,221
430,Grass,80
430,Predator,8
430,Prey,222
431,Grass,80
431,Predator,8
431,Prey,223
432,Grass,80
432,Predator,8
432,Prey,224
433,Grass,80
433,Predator,8
433,Prey,226
434,Grass,80
434,Predator,8
434,Prey,226
435,Grass,80
435,Predator,8
435,Prey,228
436,Grass,80
436,Predator,8
436,Prey,228
437,Grass,80
437,Predator,8
437,Prey,229
438,Grass,80
438,Predator,8
438,Prey,230
439,Grass,80
439,Predator,8
439,Prey,230
440,Grass,80
440,Predator,7
440,Prey,229
441,Grass,80
441,Predator,7
441,Prey,229
442,Grass,80
442,Predator,7
442,Prey,228
443,Grass,80
443,Predator,7
443,Prey,228
444,Grass,80
444,Predator,7
444,Prey,228
445,Grass,80
445,Predator,7
445,Prey,228
446,Grass,80
446,Predator,7
446,Prey,227
447,Grass,80
447,Predator,7
447,Prey,226
448,Grass,80
448,Predator,7
448,Prey,226
449,Grass,80
449,Predator,7
449,Prey,227
450,Grass,80
450,Predator,7
450,Prey,227
451,Grass,80
451,Predator,7
451,Prey,227
452,Grass,80
452,Predator,7
452,Prey,228
453,Grass,80
453,Predator,7
453,Prey,229
454,Grass,80
454,Predator,7
454,Prey,229
455,Grass,80
455,Predator,7
455,Prey,229
456,Grass,80
456,Predator,7
456,Prey,230
457,Grass,80
457,Predator,7
