frame,AID,AgentCount
116,Grass,80
116,Predator,9
116,Prey,111
117,Grass,80
117,Predator,9
117,Prey,110
118,Grass,80
118,Predator,9
118,Prey,110
119,Grass,80
119,Predator,9
119,Prey,110
120,Grass,80
120,Predator,9
120,Prey,110
121,Grass,80
121,Predator,9
121,Prey,110
122,Grass,80
122,Predator,9
122,Prey,110
123,Grass,80
123,Predator,9
123,Prey,111
124,Grass,80
124,Predator,9
124,Prey,111
125,Grass,80
125,Predator,9
125,Prey,111
126,Grass,80
126,Predator,9
126,Prey,111
127,Grass,80
127,Predator,9
127,Prey,112
128,Grass,80
128,Predator,9
128,Prey,112
129,Grass,80
129,Predator,9
129,Prey,112
130,Grass,80
130,Predator,9
130,Prey,112
131,Grass,80
131,Predator,9
131,Prey,112
132,Grass,80
132,Predator,9
132,Prey,112
133,Grass,80
133,Predator,9
133,Prey,113
134,Grass,80
134,Predator,9
134,Prey,113
135,Grass,80
135,Predator,9
135,Prey,112
136,Grass,80
136,Predator,9
136,Prey,112
137,Grass,80
137,Predator,9
137,Prey,112
138,Grass,80
138,Predator,9
138,Prey,112
139,Grass,80
139,Predator,9
139,Prey,111
140,Grass,80
140,Predator,9
140,Prey,112
141,Grass,80
141,Predator,9
141,Prey,112
142,Grass,80
142,Predator,9
142,Prey,111
143,Grass,80
143,Predator,9
143,Prey,110
144,Grass,80
144,Predator,9
144,Prey,113
145,Grass,80
145,Predator,9
145,Prey,114
146,Grass,80
146,Predator,9
146,Prey,114
147,Grass,80
147,Predator,9
147,Prey,114
148,Grass,80
148,Predator,9
148,Prey,113
149,Grass,80
149,Predator,9
149,Prey,114
150,Grass,80
150,Predator,9
150,Prey,114
151,Grass,80
151,Predator,9
151,Prey,114
152,Grass,80
152,Predator,9
152,Prey,115
153,Grass,80
153,Predator,9
153,Prey,116
154,Grass,80
154,Predator,9
154,Prey,116
155,Grass,80
155,Predator,9
155,Prey,116
156,Grass,80
156,Predator,9
156,Prey,116
157,Grass,80
157,Predator,9
157,Prey,116
158,Grass,80
158,Predator,9
158,Prey,116
159,Grass,80
159,Predator,9
159,Prey,117
160,Grass,80
160,Predator,9
160,Prey,118
161,Grass,80
161,Predator,9
161,Prey,118
162,Grass,80
162,Predator,9
162,Prey,117
163,Grass,80
163,Predator,9
163,Prey,117
164,Grass,80
164,Predator,9
164,Prey,116
165,Grass,80
165,Predator,9
165,Prey,117
166,Grass,80
166,Predator,9
166,Prey,118
167,Grass,80
167,Predator,9
167,Prey,117
168,Grass,80
168,Predator,9
168,Prey,119
169,Grass,80
169,Predator,9
169,Prey,119
170,Grass,80
170,Predator,9
170,Prey,120
171,Grass,80
171,Predator,9
171,Prey,122
172,Grass,80
172,Predator,9
172,Prey,122
173,Grass,80
173,Predator,9
173,Prey,123
174,Grass,80
174,Predator,9
174,Prey,123
175,Grass,80
175,Predator,9
175,Prey,123
176,Grass,80
176,Predator,9
176,Prey,124
177,Grass,80
177,Predator,9
177,Prey,123
178,Grass,80
178,Predator,9
178,Prey,123
179,Grass,80
179,Predator,9
179,Prey,123
180,Grass,80
180,Predator,9
180,Prey,123
181,Grass,80
181,Predator,9
181,Prey,124
182,Grass,80
182,Predator,9
182,Prey,125
183,Grass,80
183,Predator,9
183,Prey,125
184,Grass,80
184,Predator,9
184,Prey,126
185,Grass,80
185,Predator,9
185,Prey,126
186,Grass,80
186,Predator,9
186,Prey,126
187,Grass,80
187,Predator,9
187,Prey,126
188,Grass,80
188,Predator,9
188,Prey,126
189,Grass,80
189,Predator,9
189,Prey,126
190,Grass,80
190,Predator,9
190,Prey,126
191,Grass,80
191,Predator,9
191,Prey,126
192,Grass,80
192,Predator,9
192,Prey,127
193,Grass,80
193,Predator,9
193,Prey,127
194,Grass,80
194,Predator,9
194,Prey,127
195,Grass,80
195,Predator,9
195,Prey,127
196,Grass,80
196,Predator,9
196,Prey,127
197,Grass,80
197,Predator,9
197,Prey,127
198,Grass,80
198,Predator,9
198,Prey,127
199,Grass,80
199,Predator,9
199,Prey,127
200,Grass,80
200,Predator,9
200,Prey,127
201,Grass,80
201,Predator,9
201,Prey,127
202,Grass,80
202,Predator,9
202,Prey,127
203,Grass,80
203,Predator,9
203,Prey,127
204,Grass,80
204,Predator,9
204,Prey,125
205,Grass,80
205,Predator,9
205,Prey,124
206,Grass,80
206,Predator,9
206,Prey,124
207,Grass,80
207,Predator,9
207,Prey,123
208,Grass,80
208,Predator,9
208,Prey,122
209,Grass,80
209,Predator,9
209,Prey,122
210,Grass,80
210,Predator,9
210,Prey,122
211,Grass,80
211,Predator,9
211,Prey,122
212,Grass,80
212,Predator,9
212,Prey,122
213,Grass,80
213,Predator,9
213,Prey,123
214,Grass,80
214,Predator,9
214,Prey,122
215,Grass,80
215,Predator,9
215,Prey,123
216,Grass,80
216,Predator,9
216,Prey,125
217,Grass,80
217,Predator,9
217,Prey,125
218,Grass,80
218,Predator,9
218,Prey,126
219,Grass,80
219,Predator,9
219,Prey,126
220,Grass,80
220,Predator,9
220,Prey,127
221,Grass,80
221,Predator,9
221,Prey,127
222,Grass,80
222,Predator,9
222,Prey,127
223,Grass,80
223,Predator,9
223,Prey,127
224,Grass,80
224,Predator,9
224,Prey,130
225,Grass,80
225,Predator,9
225,Prey,131
226,Grass,80
226,Predator,9
226,Prey,131
227,Grass,80
227,Predator,9
227,Prey,131
228,Grass,80
228,Predator,9
228,Prey,133
229,Grass,80
229,Predator,9
229,Prey,134
230,Grass,80
230,Predator,9
230,Prey,134
231,Grass,80
231,Predator,9
231,Prey,135
232,Grass,80
232,Predator,9
232,Prey,135
233,Grass,80
233,Predator,9
233,Prey,137
234,Grass,80
234,Predator,9
234,Prey,137
235,Grass,80
235,Predator,9
235,Prey,137
236,Grass,80
236,Predator,9
236,Prey,137
237,Grass,80
237,Predator,9
237,Prey,136
238,Grass,80
238,Predator,9
238,Prey,136
239,Grass,80
239,Predator,9
239,Prey,136
240,Grass,80
240,Predator,9
240,Prey,137
241,Grass,80
241,Predator,9
241,Prey,137
242,Grass,80
242,Predator,9
242,Prey,138
243,Grass,80
243,Predator,9
243,Prey,138
244,Grass,80
244,Predator,9
244,Prey,139
245,Grass,80
245,Predator,9
245,Prey,139
246,Grass,80
246,Predator,9
246,Prey,140
247,Grass,80
247,Predator,9
247,Prey,140
248,Grass,80
248,Predator,9
248,Prey,140
249,Grass,80
249,Predator,9
249,Prey,140
250,Grass,80
250,Predator,9
250,Prey,140
251,Grass,80
251,Predator,9
251,Prey,140
252,Grass,80
252,Predator,9
252,Prey,139
253,Grass,80
253,Predator,9
253,Prey,138
254,Grass,80
254,Predator,9
254,Prey,138
255,Grass,80
255,Predator,9
255,Prey,139
256,Grass,80
256,Predator,9
256,Prey,139
257,Grass,80
257,Predator,9
257,Prey,140
258,Grass,80
258,Predator,9
258,Prey,140
259,Grass,80
259,Predator,9
259,Prey,141
260,Grass,80
260,Predator,9
260,Prey,142
261,Grass,80
261,Predator,9
261,Prey,142
262,Grass,80
262,Predator,9
262,Prey,142
263,Grass,80
263,Predator,9
263,Prey,142
264,Grass,80
264,Predator,9
264,Prey,142
265,Grass,80
265,Predator,9
265,Prey,142
266,Grass,80
266,Predator,9
266,Prey,142
267,Grass,80
267,Predator,9
267,Prey,141
268,Grass,80
268,Predator,9
268,Prey,141
269,Grass,80
269,Predator,9
269,Prey,141
270,Grass,80
270,Predator,9
270,Prey,141
271,Grass,80
271,Predator,9
271,Prey,142
272,Grass,80
272,Predator,9
