frame,AID,AgentCount
174,Predator,8
174,Prey,129
175,Predator,8
175,Prey,130
176,Predator,8
176,Prey,130
177,Predator,8
177,Prey,130
178,Predator,8
178,Prey,130
179,Predator,8
179,Prey,132
180,Predator,8
180,Prey,132
181,Predator,8
181,Prey,132
182,Predator,8
182,Prey,134
183,Predator,8
183,Prey,134
184,Predator,8
184,Prey,135
185,Predator,8
185,Prey,137
186,Predator,9
186,Prey,136
187,Predator,9
187,Prey,136
188,Predator,9
188,Prey,137
189,Predator,9
189,Prey,137
190,Predator,9
190,Prey,137
191,Predator,9
191,Prey,138
192,Predator,9
192,Prey,139
193,Predator,9
193,Prey,139
194,Predator,9
194,Prey,139
195,Predator,9
195,Prey,139
196,Predator,9
196,Prey,140
197,Predator,9
197,Prey,140
198,Predator,9
198,Prey,141
199,Predator,9
199,Prey,141
200,Predator,9
200,Prey,141
201,Predator,9
201,Prey,142
202,Predator,9
202,Prey,141
203,Predator,9
203,Prey,141
204,Predator,9
204,Prey,141
205,Predator,9
205,Prey,141
206,Predator,9
206,Prey,139
207,Predator,9
207,Prey,140
208,Predator,9
208,Prey,140
209,Predator,9
209,Prey,140
210,Predator,9
210,Prey,140
211,Predator,9
211,Prey,140
212,Predator,9
212,Prey,140
213,Predator,9
213,Prey,141
214,Predator,9
214,Prey,142
215,Predator,9
215,Prey,142
216,Predator,9
216,Prey,142
217,Predator,9
217,Prey,143
218,Predator,9
218,Prey,144
219,Predator,9
219,Prey,144
220,Predator,9
220,Prey,144
221,Predator,9
221,Prey,144
222,Predator,9
222,Prey,146
223,Predator,9
223,Prey,146
224,Predator,9
224,Prey,146
225,Predator,9
225,Prey,146
226,Predator,9
226,Prey,145
227,Predator,9
227,Prey,146
228,Predator,9
228,Prey,148
229,Predator,9
229,Prey,149
230,Predator,9
230,Prey,150
231,Predator,9
231,Prey,151
232,Predator,9
232,Prey,151
233,Predator,9
233,Prey,151
234,Predator,9
234,Prey,151
235,Predator,9
235,Prey,151
236,Predator,9
236,Prey,151
237,Predator,9
237,Prey,150
238,Predator,9
238,Prey,151
239,Predator,9
239,Prey,151
240,Predator,10
240,Prey,150
241,Predator,10
241,Prey,152
242,Predator,10
242,Prey,153
243,Predator,10
243,Prey,153
244,Predator,10
244,Prey,153
245,Predator,10
245,Prey,153
246,Predator,10
246,Prey,153
247,Predator,10
247,Prey,152
248,Predator,10
248,Prey,153
249,Predator,10
249,Prey,154
250,Predator,10
250,Prey,156
251,Predator,10
251,Prey,158
252,Predator,10
252,Prey,158
253,Predator,10
253,Prey,158
254,Predator,10
254,Prey,158
255,Predator,10
255,Prey,159
256,Predator,10
256,Prey,160
257,Predator,10
257,Prey,160
258,Predator,9
258,Prey,160
259,Predator,9
259,Prey,160
260,Predator,8
260,Prey,162
261,Predator,8
261,Prey,161
262,Predator,8
262,Prey,161
263,Predator,8
263,Prey,161
264,Predator,8
264,Prey,160
265,Predator,8
265,Prey,160
266,Predator,8
266,Prey,160
267,Predator,8
267,Prey,160
268,Predator,8
268,Prey,161
269,Predator,8
269,Prey,162
270,Predator,8
270,Prey,163
271,Predator,8
271,Prey,163
272,Predator,8
272,Prey,163
273,Predator,8
273,Prey,163
274,Predator,8
274,Prey,162
275,Predator,8
275,Prey,162
276,Predator,8
276,Prey,162
277,Predator,8
277,Prey,162
278,Predator,8
278,Prey,163
279,Predator,8
279,Prey,163
280,Predator,8
280,Prey,163
281,Predator,8
281,Prey,163
282,Predator,8
282,Prey,164
283,Predator,8
283,Prey,164
284,Predator,8
284,Prey,164
285,Predator,8
285,Prey,164
286,Predator,8
286,Prey,164
287,Predator,7
287,Prey,165
288,Predator,7
288,Prey,167
289,Predator,7
289,Prey,167
290,Predator,7
290,Prey,167
291,Predator,7
291,Prey,168
292,Predator,7
292,Prey,168
293,Predator,7
293,Prey,169
294,Predator,7
294,Prey,169
295,Predator,7
295,Prey,169
296,Predator,7
296,Prey,169
297,Predator,7
297,Prey,170
298,Predator,7
298,Prey,171
299,Predator,7
299,Prey,172
300,Predator,7
300,Prey,172
301,Predator,7
301,Prey,172
302,Predator,7
302,Prey,173
303,Predator,7
303,Prey,173
304,Predator,7
304,Prey,173
305,Predator,7
305,Prey,174
306,Predator,7
306,Prey,174
307,Predator,7
307,Prey,174
308,Predator,7
308,Prey,175
309,Predator,7
309,Prey,175
310,Predator,7
310,Prey,175
311,Predator,7
311,Prey,176
312,Predator,7
312,Prey,178
313,Predator,7
313,Prey,180
314,Predator,7
314,Prey,180
315,Predator,7
315,Prey,180
316,Predator,7
316,Prey,180
317,Predator,7
317,Prey,180
318,Predator,7
318,Prey,180
319,Predator,7
319,Prey,180
320,Predator,7
320,Prey,182
321,Predator,7
321,Prey,184
322,Predator,7
322,Prey,184
323,Predator,7
323,Prey,185
324,Predator,7
324,Prey,186
325,Predator,7
325,Prey,187
326,Predator,7
326,Prey,187
327,Predator,7
327,Prey,187
328,Predator,7
328,Prey,187
329,Predator,7
329,Prey,187
330,Predator,7
330,Prey,187
331,Predator,7
331,Prey,187
332,Predator,7
332,Prey,190
333,Predator,7
333,Prey,190
334,Predator,7
334,Prey,190
335,Predator,7
335,Prey,191
336,Predator,7
336,Prey,191
337,Predator,7
337,Prey,193
338,Predator,7
338,Prey,193
339,Predator,7
339,Prey,193
340,Predator,7
340,Prey,191
341,Predator,7
341,Prey,191
342,Predator,7
342,Prey,191
343,Predator,7
343,Prey,191
344,Predator,7
344,Prey,191
345,Predator,7
345,Prey,191
346,Predator,7
346,Prey,192
347,Predator,6
347,Prey,193
348,Predator,6
348,Prey,192
349,Predator,6
349,Prey,193
350,Predator,6
350,Prey,192
351,Predator,6
351,Prey,193
352,Predator,6
352,Prey,193
353,Predator,6
353,Prey,194
354,Predator,6
354,Prey,193
355,Predator,6
355,Prey,193
356,Predator,6
356,Prey,193
357,Predator,6
357,Prey,194
358,Predator,6
358,Prey,194
359,Predator,6
359,Prey,195
360,Predator,6
360,Prey,196
361,Predator,6
361,Prey,196
362,Predator,6
362,Prey,196
363,Predator,5
363,Prey,197
364,Predator,5
364,Prey,197
365,Predator,5
365,Prey,197
366,Predator,5
366,Prey,197
367,Predator,5
367,Prey,197
368,Predator,5
368,Prey,197
369,Predator,5
369,Prey,199
370,Predator,5
370,Prey,199
371,Predator,5
371,Prey,199
372,Predator,5
372,Prey,199
373,Predator,5
373,Prey,199
374,Predator,5
374,Prey,199
375,Predator,5
375,Prey,199
376,Predator,5
376,Prey,199
377,Predator,5
377,Prey,199
378,Predator,5
378,Prey,198
379,Predator,5
379,Prey,198
380,Predator,5
380,Prey,196
381,Predator,5
381,Prey,195
382,Predator,5
382,Prey,197
383,Predator,5
383,Prey,198
384,Predator,5
384,Prey,199
385,Predator,5
385,Prey,197
386,Predator,5
386,Prey,197
387,Predator,5
387,Prey,197
